[2, 551][0, 0, 0]
[3, 551][0, 0, 0]
[4, 551][0, 0, 0]
[5, 551][0, 0, 0]
[6, 551][0, 0, 0]
[7, 551][0, 0, 0]
[8, 551][0, 0, 0]
[9, 551][0, 0, 0]
[10, 551][0, 0, 0]
[2, 552][0, 0, 0]
[3, 552][0, 0, 0]
[4, 552][0, 0, 0]
[5, 552][0, 0, 0]
[6, 552][0, 0, 0]
[7, 552][0, 0, 0]
[8, 552][0, 0, 0]
[9, 552][0, 0, 0]
[10, 552][0, 0, 0]
[2, 367][0, 0, 0]
[3, 367][0, 0, 0]
[4, 367][0, 0, 0]
[5, 367][0, 0, 0]
[6, 367][0, 0, 0]
[7, 367][0, 0, 0]
[8, 367][0, 0, 0]
[9, 367][0, 0, 0]
[10, 367][0, 0, 0]
[2, 368][0, 0, 0]
[3, 368][0, 0, 0]
[4, 368][0, 0, 0]
[5, 368][0, 0, 0]
[6, 368][0, 0, 0]
[7, 368][0, 0, 0]
[8, 368][0, 0, 0]
[9, 368][0, 0, 0]
[10, 368][0, 0, 0]
[2, 184][0, 0, 0]
[3, 184][0, 0, 0]
[4, 184][0, 0, 0]
[5, 184][0, 0, 0]
[6, 184][0, 0, 0]
[7, 184][0, 0, 0]
[8, 184][0, 0, 0]
[9, 184][0, 0, 0]
[10, 184][0, 0, 0]
[2, 185][0, 0, 0]
[3, 185][0, 0, 0]
[4, 185][0, 0, 0]
[5, 185][0, 0, 0]
[6, 185][0, 0, 0]
[7, 185][0, 0, 0]
[8, 185][0, 0, 0]
[9, 185][0, 0, 0]
[10, 185][0, 0, 0]
[921, 551][0, 0, 0]
[922, 551][0, 0, 0]
[923, 551][0, 0, 0]
[924, 551][0, 0, 0]
[925, 551][0, 0, 0]
[926, 551][0, 0, 0]
[927, 551][0, 0, 0]
[928, 551][0, 0, 0]
[929, 551][0, 0, 0]
[921, 552][0, 0, 0]
[922, 552][0, 0, 0]
[923, 552][0, 0, 0]
[924, 552][0, 0, 0]
[925, 552][0, 0, 0]
[926, 552][0, 0, 0]
[927, 552][0, 0, 0]
[928, 552][0, 0, 0]
[929, 552][0, 0, 0]
[921, 367][0, 0, 0]
[922, 367][0, 0, 0]
[923, 367][0, 0, 0]
[924, 367][0, 0, 0]
[925, 367][0, 0, 0]
[926, 367][0, 0, 0]
[927, 367][0, 0, 0]
[928, 367][0, 0, 0]
[929, 367][0, 0, 0]
[921, 368][0, 0, 0]
[922, 368][0, 0, 0]
[923, 368][0, 0, 0]
[924, 368][0, 0, 0]
[925, 368][0, 0, 0]
[926, 368][0, 0, 0]
[927, 368][0, 0, 0]
[928, 368][0, 0, 0]
[929, 368][0, 0, 0]
[921, 184][0, 0, 0]
[922, 184][0, 0, 0]
[923, 184][0, 0, 0]
[924, 184][0, 0, 0]
[925, 184][0, 0, 0]
[926, 184][0, 0, 0]
[927, 184][0, 0, 0]
[928, 184][0, 0, 0]
[929, 184][0, 0, 0]
[921, 185][0, 0, 0]
[922, 185][0, 0, 0]
[923, 185][0, 0, 0]
[924, 185][0, 0, 0]
[925, 185][0, 0, 0]
[926, 185][0, 0, 0]
[927, 185][0, 0, 0]
[928, 185][0, 0, 0]
[929, 185][0, 0, 0]
[232, 3][0, 0, 0]
[232, 4][0, 0, 0]
[232, 5][0, 0, 0]
[232, 6][0, 0, 0]
[232, 7][0, 0, 0]
[232, 8][0, 0, 0]
[232, 9][0, 0, 0]
[232, 10][0, 0, 0]
[233, 3][0, 0, 0]
[233, 4][0, 0, 0]
[233, 5][0, 0, 0]
[233, 6][0, 0, 0]
[233, 7][0, 0, 0]
[233, 8][0, 0, 0]
[233, 9][0, 0, 0]
[233, 10][0, 0, 0]
[234, 3][0, 0, 0]
[234, 4][0, 0, 0]
[234, 5][0, 0, 0]
[234, 6][0, 0, 0]
[234, 7][0, 0, 0]
[234, 8][0, 0, 0]
[234, 9][0, 0, 0]
[234, 10][0, 0, 0]
[465, 3][0, 0, 0]
[465, 4][0, 0, 0]
[465, 5][0, 0, 0]
[465, 6][0, 0, 0]
[465, 7][0, 0, 0]
[465, 8][0, 0, 0]
[465, 9][0, 0, 0]
[465, 10][0, 0, 0]
[466, 3][0, 0, 0]
[466, 4][0, 0, 0]
[466, 5][0, 0, 0]
[466, 6][0, 0, 0]
[466, 7][0, 0, 0]
[466, 8][0, 0, 0]
[466, 9][0, 0, 0]
[466, 10][0, 0, 0]
[697, 3][0, 0, 0]
[697, 4][0, 0, 0]
[697, 5][0, 0, 0]
[697, 6][0, 0, 0]
[697, 7][0, 0, 0]
[697, 8][0, 0, 0]
[697, 9][0, 0, 0]
[697, 10][0, 0, 0]
[698, 3][0, 0, 0]
[698, 4][0, 0, 0]
[698, 5][0, 0, 0]
[698, 6][0, 0, 0]
[698, 7][0, 0, 0]
[698, 8][0, 0, 0]
[698, 9][0, 0, 0]
[698, 10][0, 0, 0]
[699, 3][0, 0, 0]
[699, 4][0, 0, 0]
[699, 5][0, 0, 0]
[699, 6][0, 0, 0]
[699, 7][0, 0, 0]
[699, 8][0, 0, 0]
[699, 9][0, 0, 0]
[699, 10][0, 0, 0]
[232, 725][0, 0, 0]
[232, 726][0, 0, 0]
[232, 727][0, 0, 0]
[232, 728][0, 0, 0]
[232, 729][0, 0, 0]
[232, 730][0, 0, 0]
[232, 731][0, 0, 0]
[232, 732][0, 0, 0]
[232, 733][0, 0, 0]
[233, 725][0, 0, 0]
[233, 726][0, 0, 0]
[233, 727][0, 0, 0]
[233, 728][0, 0, 0]
[233, 729][0, 0, 0]
[233, 730][0, 0, 0]
[233, 731][0, 0, 0]
[233, 732][0, 0, 0]
[233, 733][0, 0, 0]
[234, 725][0, 0, 0]
